"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"CSAN3","1983","2016","Consumo não cíclico",27299829,6303857,3222805,8965606,2235238,7541793,15537153,1485562,1036085,2955241,0.57001
"CSAN3","1983","2017","Consumo não cíclico",28539273,7780048,4991391,9446670,1792909,7670777,16861372,1968255,1315324,2624893,0.62292
"RLOG3","2348","2015","Bens industriais",21745662,1489603,3491628,1113277,1513025,4037923,430208,-121899,-30030,1266042,0.10095
"RLOG3","2348","2016","Bens industriais",23038008,2308031,3395517,1540225,1449637,5014555,1828788,-767842,-206694,1245408,0.05855
"RLOG3","2348","2017","Bens industriais",26237350,4413732,3515606,2211007,2307767,5946349,4293908,-253797,-79515,1725361,0.05137
"CZLT33","8007","2015","Consumo não cíclico",52307668,6835231,6922633,6016966,3350563,12458251,3793020,874128,459790,3794616,0.06257
"CZLT33","8007","2016","Consumo não cíclico",50469850,8769009,6629067,6272463,3635388,12518139,6577568,555987,277804,4200649,0.03828
"CZLT33","8007","2017","Consumo não cíclico",55624511,13033936,9022320,6038757,4088101,13582463,7920997,1474652,551021,4350253,0.07321
"CSRN3","1813","2015","Utilidade pública",2399009,746743,553587,852888,366898,1758245,1535378,222227,186151,416091,4e-05
"CSRN3","1813","2016","Utilidade pública",2403868,631386,704843,845143,298565,1794204,2404255,191591,171260,418878,3e-05
"CSRN3","1813","2017","Utilidade pública",2865493,908765,899879,852438,114365,2160031,3075754,230135,188278,408287,3e-05
"CTNM4","315","2015","Consumo cíclico",3328993,1777891,1109745,877874,-124881,2577862,68625,-68719,-77803,656529,0.00066
"CTNM4","315","2016","Consumo cíclico",3338866,1575441,1120881,720216,39397,2658850,107397,-204725,-140823,680516,0.00035
"CTNM4","315","2017","Consumo cíclico",3539483,1565125,1097003,825938,11870,2577728,187830,57513,49808,669755,0.00072
"CPFE3","1866","2015","Utilidade pública",40532471,12508652,9524873,7674196,2557974,20205869,15073956,1454454,864940,3937825,0.53193
"CPFE3","1866","2016","Utilidade pública",42170992,11379187,9018493,7970020,4634026,19112089,25661631,1380547,900885,4306020,0.69023
"CPFE3","1866","2017","Utilidade pública",41282912,9581212,11378688,8961528,2034024,26744905,19696650,1846670,1179750,4997632,0.41371
"CPRE3","2054","2015","Utilidade pública",11904102,1296419,1174865,4176063,375459,1499356,5788046,504,-54447,712387,0.00077
"CPRE3","2054","2016","Utilidade pública",12464885,1398797,1313468,4324588,662588,1646588,5884176,-97396,-151901,790507,0.00268
"CPRE3","2054","2017","Utilidade pública",12856002,1623644,1956998,4032448,836377,1959084,6719739,93771,11484,952456,0.00664
"CRDE3","2063","2015","Consumo cíclico",290342,177901,27327,236044,85903,29446,65398,-26867,-37077,9329,5e-04
"CRDE3","2063","2016","Consumo cíclico",230247,120521,13326,188761,13013,17094,67820,-29203,-47303,4812,0.00066
